None,m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,comp_desc,address_line_1,address_line_2,city,state_code,country_code,post_code,phone_nbr,fax_nbr,email,comp_url,beta,per_end_month_nbr,sic_4_code,sic_4_desc,zacks_x_ind_code,zacks_x_ind_desc,zacks_x_sector_code,zacks_x_sector_desc,zacks_m_ind_code,zacks_m_ind_desc,emp_cnt,market_val,tot_revenue_f0,net_income_f0,pe_ratio_f1,pe_ratio_12m,peg_ratio,price_per_sales,price_book,price_cash,roe_q0,roa_q0,pre_tax_margin_q0,net_margin_q0,zacks_oper_margin_q0,inv_turnover_q0,curr_ratio_q0,quick_ratio_q0,debt_to_comm_equ_q0,iad,div_yield,shares_out,avg_vol_20d,bvps_f0,diluted_eps_net_4q,per_end_date_qr0,eps_mean_est_qr0,eps_act_qr0,eps_amt_diff_surp_qr0,eps_pct_diff_surp_qr0,per_end_date_fr1,eps_mean_est_fr1,per_end_date_fr2,eps_mean_est_fr2,eps_act_fr0,rating_cnt_strong_buys,rating_cnt_buys,rating_cnt_holds,rating_cnt_sells,rating_cnt_strong_sells,cons_recom_curr,cons_recom_7d_ago,held_by_insiders_pct,held_by_institutions_pct,free_float
10,IBM,IBM,INTL BUS MACH,International Business Machines Corporation,NYSE,USD,"IBM is an information technology (IT) company. The company operates in five segments: Global Technology Services, Global Business Services, Software, Systems and Technology, and Global Financing. The Global Technology Services segment provides IT infrastructure services and business process services. The Global Business Services segment offers professional services and application management services. The Software segment consists primarily of middleware and operating systems software. The Systems and Technology segment provides computing power and storage solutions; and semiconductor technology products and packaging solutions. The Global Financing segment invests in financing assets, leverages with debt and manages the associated risks. IBM is headquartered in Armonk, New York.",1 NEW ORCHARD ROAD,,ARMONK,NY,US,10504,914-499-1900,914-765-6021,ibm@computershare.com,http://www.ibm.com,0.92,12,3570,Computer & office equipment,203,COMP-INTEGT SYS,10,Computer and Technology,31,COMPUTER/OFFICE EQUIP,397800.0,129635.48,79139.0,5753.0,10.21,10.16,2.06,1.62,7.09,7.48,69.71,10.51,13.88,7.1,16.18,26.18,1.37,1.33,2.21,6.28,4.45,917.97,3621533.25,19.92,6.07,2018-03-31,2.4,2.45,0.05,2.08,2018-12-31,13.83,2019-12-31,14.05,13.8,4,1,10,0,0,2.4,2.4,0.17,56.12,916.407
11,ITL,INTC,INTEL CORP,Intel Corporation,NSDQ,USD,"Intel Corporation is one of the world's largest semiconductor chip maker. The Company develops advanced integrated digital technology products, primarily integrated circuits, for industries such as computing and communications. It also develops platforms, which it defines as integrated suites of digital computing technologies that are designed and configured to work together to provide an optimized user computing solution compared to components that are used separately. Intel designs and manufactures computing and communications components, such as microprocessors, chipsets, motherboards, and wireless and wired connectivity products, as well as platforms that incorporate these components. The Company sells its products primarily to original equipment manufacturers, original design manufacturers, PC and network communications products users, and other manufacturers of industrial and communications equipment. Intel Corporation is based in Santa Clara, California.",2200 Mission College Boulevard,,Santa Clara,CA,US,95054,408-765-8080,408-765-9904,,http://www.intel.com,0.94,12,3674,Semiconductors & related devices,241,SEMI-GENERAL,10,Computer and Technology,33,ELECTRON-SEMI,102700.0,258804.48,62761.0,9601.0,14.41,15.03,1.71,4.04,3.69,10.4,25.41,14.14,33.65,17.32,27.66,3.56,1.58,1.23,0.35,1.2,2.17,4678.32,20150292.0,15.0,2.29999,2018-03-31,0.71,0.87,0.16,22.54,2018-12-31,3.84,2019-12-31,4.03,3.46,15,3,10,1,0,1.9,1.9,0.03,67.02,4676.914
12,JNJ,JNJ,JOHNSON & JOHNS,Johnson & Johnson,NYSE,USD,"Johnson & Johnson is engaged in the research and development, manufacture and sale of a range of products in the healthcare field. The Company operates in three segments: Consumer, Pharmaceutical, and Medical Devices and Diagnostics. Its Consumer segment offers products for use in the baby care, skin care, oral care, wound care, and women's health fields, nutritional and over-the-counter pharmaceutical products. The company's Pharmaceutical segment provides various products in the areas of anti-infective, antipsychotic, contraceptive, dermatology, gastrointestinal, hematology, immunology, neurology, oncology, pain management, thrombosis, vaccines, and infectious diseases. Its Medical Devices and Diagnostics segment offers electrophysiology and circulatory disease management products; orthopaedic joint reconstruction, spinal care, neurological, and sports medicine products; surgical care, aesthetics, and women's health products. Johnson & Johnson is based in New Brunswick, New Jersey.",ONE JOHNSON & JOHNSON PLZ,,NEW BRUNSWICK,NJ,US,08933,732-524-0400,732-214-0332,,http://www.jnj.com,0.74,12,2834,Pharmaceutical preparations,225,Large Cap Pharma,4,Medical,15,DRUGS,134000.0,320338.5,76450.0,1300.0,14.69,15.86,1.83,4.07,5.06,12.49,30.65,13.26,22.34,1.58,26.23,2.87,1.58,1.25,0.47,3.6,3.02,2682.9,5882475.0,23.58,0.38,2018-03-31,2.01,2.06,0.05,2.49,2018-12-31,8.13,2019-12-31,8.64,7.3,8,2,6,0,2,2.22,2.22,0.22,66.16,2677.0
13,CHL,JPM,JPMORGAN CHASE,JPMorgan Chase & Co.,NYSE,USD,"JPMorgan Chase & Co. is a financial services firm. The Company is engaged in investment banking, financial services for consumers and small businesses, commercial banking, financial transaction processing, asset management and private equity.  It offers various investment banking products and services, including advising on corporate strategy and structure, capital-raising in equity and debt markets, risk management, market-making in cash securities and derivative instruments, prime brokerage. It also offers consumer and business, and mortgage banking products and services that include checking and savings accounts, mortgages, home equity and business loans, and investments. JPMorgan Chase & Co. is headquartered in New York.",270 PARK AVENUE,,NEW YORK,NY,US,10017,212-270-6000,302-655-5049,jpmcinvestorrelations@jpmchase.com,http://www.jpmorganchase.com,1.24,12,6021,National commercial banks,204,BANKS-MJR REGNL,13,Finance,46,BANKS-MAJOR,252539.0,363547.41,113899.0,24441.0,11.7,13.74,1.76,3.07,1.58,11.27,12.6,1.13,32.24,22.53,24.57,,1.01,1.01,1.19,2.24,2.11,3431.96,11292347.0,67.06,7.01999,2018-03-31,2.28,2.37,0.09,3.95,2018-12-31,9.05,2019-12-31,9.85,6.87,8,1,9,0,0,2.06,2.06,0.73,72.18,3406.906
14,KO,KO,COCA COLA CO,Coca-Cola Company (The),NYSE,USD,"The Coca-Cola Company is the world's largest total beverage company. In addition to their namesake Coca-Cola drinks, some of their household names around the world include: AdeS soy-based beverages, Ayataka green tea, Dasani waters, Del Valle juices and nectars, Fanta, Georgia coffee, Gold Peak teas and coffees, Honest Tea, Minute Maid juices, Powerade sports drinks, Simply juices, smartwater, Sprite, vitaminwater, and Zico coconut water. At Coca-Cola, they are serious about making positive contributions to world. That starts with reducing sugar in drinks and bringing new and different drinks to people everywhere. It also means continuously working to reduce environmental impact, creating rewarding careers for associates, and bringing economic opportunity wherever they operate.",ONE COCA COLA PLAZA,,ATLANTA,GA,US,30313,404-676-2121,404-676-6792,,http://www.coca-colacompany.com,0.72,12,2080,Beverages,20,BEVERAGES-SOFT,1,Consumer Staples,2,BEVERAGES,61800.0,182068.86,35410.0,1248.0,20.36,21.89,2.48,5.37,8.42,19.07,39.54,9.25,20.84,4.23,24.73,4.54,1.21,1.12,1.38,1.56,3.66,4265.91,10787749.0,5.07,0.32,2018-03-31,0.46,0.47,0.01,2.17,2018-12-31,2.1,2019-12-31,2.27,1.91,7,0,9,0,0,2.13,2.13,1.48,65.68,4202.771
15,MCD,MCD,MCDONALDS CORP,McDonald's Corporation,NYSE,USD,"McDonald's Corporation is the world's leading global food service retailer. The Company operates and franchises McDonald's restaurants, which serve a locally-relevant menu of quality food and beverages sold at various price. McDonald's global system is comprised of both Company-owned and franchised restaurants. McDonald's franchised restaurants are owned and operated under one of the following structures -conventional franchise, developmental license or affiliate. The optimal ownership structure for an individual restaurant, trading area or market (country) is based on a variety of factors, including the availability of individuals with the entrepreneurial experience and financial resources, as well as the local legal and regulatory environment in critical areas such as property ownership and franchising. The business relationship between McDonald's and its independent franchisees is of fundamental importance to overall performance and to the McDonald's brand.",ONE MCDONALD`S PLAZA,,OAK BROOK,IL,US,60523,630-623-3000,630-623-5004,,http://www.aboutmcdonalds.com,0.63,12,5812,Eating places,160,RETAIL-RESTRNTS,3,Retail/Wholesale,13,FOOD/DRUG-RTL/WHL,235000.0,126115.2,22820.4,5192.3,20.97,22.98,2.37,5.66,,18.85,-167.8,17.0,38.84,24.02,25.35,206.97,1.74,1.72,-6.54,4.04,2.52,785.18,2869993.0,-6.01,6.60999,2018-03-31,1.67,1.79,0.12,7.19,2018-12-31,7.66,2019-12-31,8.26,6.66,15,0,6,0,0,1.57,1.57,0.22,67.53,783.45
16,MMM,MMM,3M CO,3M Company,NYSE,USD,"3M is a diversified technology company which applies science in collaborative ways to improve lives daily. The company's innovation aims to tackle some of the world's most pressing areas of concern: Raw Materials, Water, Energy & Climate, Health & Safety, Education & Development. 3M company conducts operations in Automotive, Commercial Solution, Communications, Consumer, Design & Construction, Electronics, Energy, Energy, Health Care, Manufacturing, Mining, Oil & Gas, Safety and Transportation and other markets.  3M owns substantially all of its physical properties and serves customers worldwide. The Company businesses share technologies, manufacturing operations, marketing channels, and other resources. 3M is headquartered in St. Paul, Minnesota.",3M CENTER  BLDG. 220-11W-02,,ST PAUL,MN,US,55144,651-733-1110,651-733-9973,,http://www.3m.com,1.17,12,3841,Surgical & medical instruments,48,DIVERSIFIED OPS,9,Multi-Sector Conglomerates,30,CONGLOMERATES,91536.0,116209.33,31657.0,4858.0,18.78,20.58,1.85,3.6,10.53,16.25,50.11,15.99,21.01,12.83,18.07,4.05,1.65,1.17,1.11,5.44,2.78,593.69,2644325.75,18.59,6.73999,2018-03-31,2.5,2.5,0.0,0.0,2018-12-31,10.42,2019-12-31,11.4,9.17,4,1,5,0,2,2.58,2.58,0.58,65.66,590.249
17,MRK,MRK,MERCK & CO INC,"Merck & Co., Inc.",NYSE,USD,"Merck & Co., Inc., a leading global biopharmaceutical company known as MSD outside of the United States and Canada, has been inventing for life, bringing forward medicines and vaccines for many of the world's most challenging diseases. Through their prescription medicines, vaccines, biologic therapies and animal health products, they work with customers and operate the countries to deliver innovative health solutions. The Company also demonstrate their commitment to increasing access to health care through far-reaching policies, programs and partnerships. Merck continues to be at the forefront of research to advance the prevention and treatment of diseases that threaten people and communities around the world - including cancer, cardio-metabolic diseases, emerging animal diseases, Alzheimer's disease and infectious diseases including HIV and Ebola.",2000 GALLOPING HILL ROAD,,KENILWORTH,NJ,US,07033,908-740-4000,908-735-1253,investor_relations@merck.com,http://www.merck.com,0.76,12,2834,Pharmaceutical preparations,225,Large Cap Pharma,4,Medical,15,DRUGS,69000.0,157457.5,40122.0,2394.0,13.81,14.07,2.22,3.87,4.64,10.22,30.93,12.66,14.4,4.31,27.85,2.44,1.42,1.1,0.63,1.92,3.29,2696.19,8604422.0,12.57,0.63999,2018-03-31,0.99,1.05,0.06,6.06,2018-12-31,4.23,2019-12-31,4.5,3.98,8,1,3,0,0,1.54,1.54,0.32,73.14,2687.562
18,MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,"Microsoft is a technology company. Their products include operating systems for computing devices, servers, phones, and other intelligent devices; server applications for distributed computing environments; cross-device productivity applications; business solution applications; desktop and server management tools; software development tools; video games; and online advertising. They also design and sell hardware including PCs, tablets, gaming and entertainment consoles, phones, other intelligent devices, and related accessories. They offer cloud-based solutions that provide customers with software, services, platforms, and content. They also provide consulting and product and solution support services, and they train and certify computer system integrators and developers.",ONE MICROSOFT WAY,,REDMOND,WA,US,98052,425-882-8080,425-706-7329,msft@microsoft.com,http://www.microsoft.com,1.04,6,7372,Prepackaged software,44,COMP-SOFTWARE,10,Computer and Technology,32,COMPUTER SOFT/SERV,124000.0,754656.75,89950.0,21204.0,25.82,26.28,2.16,7.28,9.52,21.8,36.49,11.76,26.06,13.72,28.15,15.64,3.4,3.35,1.0,1.68,1.71,7699.79,21078896.0,10.29,1.79999,2018-03-31,0.85,0.95,0.1,11.76,2018-06-30,3.8,2019-06-30,3.97,3.31,20,1,4,1,0,1.46,1.46,1.49,72.44,7585.066
19,NIKE,NKE,NIKE INC-B,"NIKE, Inc.",NYSE,USD,"Nike, Inc., based near Beaverton, Oregon, is the world's leading designer, marketer and distributor of authentic athletic footwear, apparel, equipment and accessories for a wide variety of sports and fitness activities. Wholly-owned NIKE, Inc. subsidiary brands include Converse, which designs, markets and distributes athletic lifestyle footwear, apparel and accessories; and Hurley, which designs, markets and distributes surf and youth lifestyle footwear, apparel and accessories.",ONE BOWERMAN DRIVE,,BEAVERTON,OR,US,97005,503-671-3173,503-671-6300,investor.relations@nike.com,http://www.nike.com,0.64,5,3021,Rubber & plastics footwear,173,SHOES&REL APPRL,2,Consumer Discretionary,1,APPAREL,74400.0,115382.51,34350.0,4240.0,30.31,30.7,3.38,3.27,11.8,23.51,33.38,16.4,12.12,5.11,10.86,3.8,2.66,1.73,0.35,0.8,1.13,1626.94,5547596.5,7.55,1.06,2018-02-28,0.52,0.68,0.16,30.77,2018-05-31,2.34,2019-05-31,2.64,2.51,10,1,12,1,0,2.17,2.17,3.9,64.25,1563.488
20,PFE,PFE,PFIZER INC,Pfizer Inc.,NYSE,USD,"Pfizer Inc. is a research-based, global pharmaceutical company that discovers, develops, manufactures, and markets medicines for humans and animals. The Company's diversified global healthcare portfolio includes human and animal biologic and small molecule medicines and vaccines, as well as nutritional products and consumer healthcare products. Pfizer's Animal Health business unit discovers, develops and sells products for the prevention and treatment of diseases in livestock and companion animals. It sells its products to wholesalers, distributors, retailers, hospitals, clinics, government agencies, pharmacies, individual provider offices, veterinarians, livestock producers, and grocery and convenience stores. Pfizer Inc. is headquartered in New York.",235 EAST 42ND STREET,,NEW YORK,NY,US,10017,212-733-2323,302-655-5049,,http://www.pfizer.com,0.89,12,2834,Pharmaceutical preparations,225,Large Cap Pharma,4,Medical,15,DRUGS,90200.0,212517.28,52546.0,21308.0,12.09,13.08,1.78,4.03,3.01,9.52,25.29,9.78,23.69,41.29,31.44,1.45,1.27,0.98,0.45,1.36,3.81,5952.87,18997868.0,11.85,3.58999,2018-03-31,0.74,0.77,0.03,4.05,2018-12-31,2.95,2019-12-31,3.05,2.65,6,1,3,0,0,1.65,1.65,0.06,69.53,5949.293
21,PG,PG,PROCTER & GAMBL,Procter & Gamble Company (The),NYSE,USD,"The Procter & Gamble Company is engaged in the manufacture and sale of a range of branded consumer packaged goods. The company operates in five segments: Beauty, Grooming, Health Care, Fabric Care and Home Care, and Baby Care and Family Care. The Beauty segment provides antiperspirants, deodorants, cosmetics, hair care products, personal cleansings, prestige products, and skin care products. The Grooming segment offers blades and razors, electronic hair removal devices, hair care appliances. The Health Care segment provides feminine care, gastrointestinal, incontinence, rapid diagnostics, respiratory, oral care, and other personal health care products. The Fabric Care and Home Care segment offers bleach and laundry additives, air care products, batteries, dish care items, fabric enhancers, laundry detergents, pet care products, and surface care products. The Baby Care and Family Care segment provides baby wipes, diapers and pants, tissues, and toilet papers. The Procter & Gamble is based in Cincinnati, Ohio.",One Procter & Gamble Plaza,,Cincinnati,OH,US,45202,513-983-1100,513-983-9369,pginvestors@linkintime.co.in,https://us.pg.com,0.58,6,2840,"Soap, detergents, & cleaning preparations; perfumes, & cosmetics",174,SOAP&CLNG PREPS,1,Consumer Staples,5,SOAPS/COSMETICS,95000.0,186680.34,65058.0,15326.0,17.65,17.93,2.4,2.81,3.46,13.98,20.72,8.93,21.03,15.17,16.61,6.71,0.91,0.74,0.42,2.87,3.87,2521.0,7653625.0,21.41,3.75999,2018-03-31,0.98,1.0,0.02,2.04,2018-06-30,4.2,2019-06-30,4.47,3.92,4,1,9,0,1,2.53,2.53,0.35,59.53,2512.18
